#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-06-27T16:57:46 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ59528e1c0cca	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_Glon,_Glat
#-nav=cat:J/ApJ/783/130&tab:{J/ApJ/783/130/table1}&key:source=J/ApJ/783/130/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/783/130/table1
#-order=I
#-out=Name
#-out=Alias
#-out=RAJ2000
#-out=DEJ2000
#-out=plx
#-out=e_plx
#-out=pmX
#-out=e_pmX
#-out=pmY
#-out=e_pmY
#-out=VLSR
#-out=e_VLSR
#-out=Arm
#-out=Ref
#

#RESOURCE=yCat_17830130
#Name: J/ApJ/783/130
#Title: Parallaxes of high mass star forming regions (Reid+, 2014)
#Coosys	G:	galactic
#Table	J_ApJ_783_130_table1:
#Name: J/ApJ/783/130/table1
#Title: Parallaxes and proper motions of high-mass star forming regions
#Column	_Glon	(F8.4)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lon]
#Column	_Glat	(F8.4)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lat]
#Column	Name	(A13)	Galactic source name/coordinates	[ucd=pos.galactic]
#Column	Alias	(a15)	Alias name	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	plx	(F6.3)	Trigonometric Parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	Uncertainty in plx (1)	[ucd=stat.error;pos.parallax]
#Column	pmX	(F5.2)	Eastward Proper Motion (Motion in RA multiplied by cos(Dec); {mu}_x_={mu}_{alpha}_cos{delta}) (2)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmX	(F5.2)	Uncertainty in pmX	[ucd=stat.error]
#Column	pmY	(F5.2)	Northward Proper Motion ({mu}_y_={mu}_{delta}_ (2)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmY	(F5.2)	Uncertainty in pmY	[ucd=stat.error]
#Column	VLSR	(I3)	Local Standard of Rest velocity v_LSR_ (2)	[ucd=phys.veloc;pos.lsr]
#Column	e_VLSR	(I2)	Uncertainty in VLSR	[ucd=stat.error;phys.veloc;pos.lsr]
#Column	Arm	(A3)	Spiral arm designator; based mostly on association with structure seen in l-V plots of CO and HI emission (not using the measured parallaxes) (3)	[ucd=meta.id.parent]
#Column	Ref	(a8)	Reference (in refs.dat file)	[ucd=meta.ref;pos.frame]
_Glon	_Glat	Name	Alias	RAJ2000	DEJ2000	plx	e_plx	pmX	e_pmX	pmY	e_pmY	VLSR	e_VLSR	Arm	Ref
014.6367	 -0.5760	G014.63-00.57	               	18 19 15.54	-16 29 45.8	 0.546	 0.022	 0.22	 1.20	-2.07	 1.20	 19	 5	Sgr	2
015.0345	 -0.6772	G015.03-00.67	M 17           	18 20 24.81	-16 11 35.3	 0.505	 0.033	 0.68	 0.32	-1.42	 0.33	 22	 3	Sgr	10
016.5851	 -0.0506	G016.58-00.05	               	18 21 09.08	-14 31 48.8	 0.279	 0.023	-2.52	 0.37	-2.33	 0.35	 60	 5	Sct	4
023.0099	 -0.4101	G023.00-00.41	               	18 34 40.20	-09 00 37.0	 0.218	 0.017	-1.72	 0.14	-4.12	 0.33	 80	 3	4-k	11
023.4399	 -0.1824	G023.44-00.18	               	18 34 39.19	-08 31 25.4	 0.170	 0.032	-1.93	 0.15	-4.11	 0.13	 97	 3	4-k	11
023.6567	 -0.1274	G023.65-00.12	               	18 34 51.59	-08 18 21.4	 0.313	 0.039	-1.32	 0.20	-2.96	 0.20	 83	 3	...	12
023.7065	 -0.1981	G023.70-00.19	               	18 35 12.36	-08 17 39.5	 0.161	 0.024	-3.17	 0.12	-6.38	 0.16	 73	 5	4-k	7
025.7094	 +0.0438	G025.70+00.04	               	18 38 03.14	-06 24 15.5	 0.098	 0.029	-2.89	 0.07	-6.20	 0.36	 93	 5	Sct	4
027.3650	 -0.1658	G027.36-00.16	               	18 41 51.06	-05 01 43.4	 0.125	 0.042	-1.81	 0.11	-4.11	 0.27	 92	 3	Sct	10
028.8620	 +0.0657	G028.86+00.06	               	18 43 46.22	-03 35 29.6	 0.135	 0.018	-4.80	 0.30	-5.90	 0.30	100	10	Sct	4
029.8623	 -0.0443	G029.86-00.04	               	18 45 59.57	-02 45 06.7	 0.161	 0.020	-2.32	 0.11	-5.29	 0.16	100	 3	Sct	6
029.9554	 -0.0161	G029.95-00.01	W 43S          	18 46 03.74	-02 39 22.3	 0.190	 0.019	-2.30	 0.13	-5.34	 0.13	 98	 3	Sct	6
031.2803	 +0.0613	G031.28+00.06	               	18 48 12.39	-01 26 30.7	 0.234	 0.039	-2.09	 0.16	-4.37	 0.21	109	 3	Sct	6
031.5811	 +0.0784	G031.58+00.07	W 43Main       	18 48 41.68	-01 09 59.0	 0.204	 0.030	-1.88	 0.40	-4.84	 0.40	 96	 5	Sct	6
032.0444	 +0.0588	G032.04+00.05	               	18 49 36.58	-00 45 46.9	 0.193	 0.008	-2.21	 0.40	-4.80	 0.40	 97	 5	Sct	4
033.6413	 -0.2277	G033.64-00.22	               	18 53 32.56	+00 31 39.1	 0.153	 0.017	-3.18	 0.10	-6.10	 0.10	 60	 3	...	1
034.3938	 +0.2224	G034.39+00.22	               	18 53 18.77	+01 24 08.8	 0.643	 0.049	-0.90	 1.00	-2.75	 2.00	 57	 5	Sgr	13
035.0248	 +0.3496	G035.02+00.34	               	18 54 00.67	+02 01 19.2	 0.430	 0.040	-0.92	 0.90	-3.61	 0.90	 52	 5	Sgr	2
035.1970	 -0.7432	G035.19-00.74	               	18 58 13.05	+01 40 35.7	 0.456	 0.045	-0.18	 0.50	-3.63	 0.50	 30	 7	Sgr	14
035.2002	 -1.7365	G035.20-01.73	               	19 01 45.54	+01 13 32.5	 0.306	 0.045	-0.71	 0.21	-3.61	 0.26	 42	 3	Sgr	14
037.4301	 +1.5174	G037.43+01.51	               	18 54 14.35	+04 41 41.7	 0.532	 0.021	-0.45	 0.35	-3.69	 0.39	 41	 3	Sgr	2
043.1664	 +0.0112	G043.16+00.01	W 49N          	19 10 13.41	+09 06 12.8	 0.090	 0.007	-2.88	 0.20	-5.41	 0.20	 10	 5	Per	15
043.7954	 -0.1273	G043.79-00.12	OH 43.8-0.1    	19 11 53.99	+09 35 50.3	 0.166	 0.005	-3.02	 0.36	-6.20	 0.36	 44	10	Sgr	2
043.8904	 -0.7844	G043.89-00.78	               	19 14 26.39	+09 22 36.5	 0.121	 0.020	-2.75	 0.30	-6.43	 0.30	 54	 5	Sgr	2
045.0711	 +0.1323	G045.07+00.13	               	19 13 22.04	+10 50 53.3	 0.125	 0.005	-2.98	 0.45	-6.26	 0.45	 59	 5	Sgr	2
045.4549	 +0.0599	G045.45+00.05	               	19 14 21.27	+11 09 15.9	 0.119	 0.017	-2.34	 0.38	-6.00	 0.54	 55	 7	Sgr	2
048.6061	 +0.0230	G048.60+00.02	               	19 20 31.18	+13 55 25.2	 0.093	 0.005	-2.89	 0.13	-5.50	 0.13	 18	 5	Per	15
049.1901	 -0.3368	G049.19-00.33	               	19 22 57.77	+14 16 10.0	 0.189	 0.007	-2.99	 0.40	-5.71	 0.40	 67	 5	Sgr	2
049.4894	 -0.3689	G049.48-00.36	W 51 IRS2      	19 23 39.82	+14 31 05.0	 0.195	 0.071	-2.49	 0.14	-5.51	 0.16	 56	 3	Sgr	16
049.4885	 -0.3880	G049.48-00.38	W 51M          	19 23 43.87	+14 30 29.5	 0.185	 0.010	-2.64	 0.20	-5.11	 0.20	 58	 4	Sgr	17
052.1005	 +1.0428	G052.10+01.04	IRAS 19213+1723	19 23 37.32	+17 29 10.5	 0.251	 0.060	-2.60	 2.00	-6.10	 2.00	 42	 5	Sgr	18
059.7828	 +0.0646	G059.78+00.06	               	19 43 11.25	+23 44 03.3	 0.463	 0.020	-1.65	 0.30	-5.12	 0.30	 25	 3	Loc	16
069.5402	 -0.9756	G069.54-00.97	ON 1           	20 10 09.07	+31 31 36.0	 0.406	 0.013	-3.19	 0.40	-5.22	 0.40	 12	 5	Loc	19,20,21
074.0342	 -1.7141	G074.03-01.71	               	20 25 07.11	+34 49 57.6	 0.629	 0.017	-3.79	 1.30	-4.88	 1.50	  5	 5	Loc	21
075.2966	 +1.3238	G075.29+01.32	               	20 16 16.01	+37 35 45.8	 0.108	 0.005	-2.37	 0.11	-4.48	 0.17	-58	 5	Out	22
075.7610	 +0.3399	G075.76+00.33	               	20 21 41.09	+37 25 29.3	 0.285	 0.022	-3.08	 0.60	-4.56	 0.60	 -9	 9	Loc	21
075.7820	 +0.3427	G075.78+00.34	ON 2N          	20 21 44.01	+37 26 37.5	 0.261	 0.030	-2.79	 0.55	-4.66	 0.55	  1	 5	Loc	23
076.3809	 -0.6178	G076.38-00.61	               	20 27 25.48	+37 22 48.5	 0.770	 0.053	-3.73	 3.00	-3.84	 3.00	 -2	 5	Loc	21
078.1223	 +3.6328	G078.12+03.63	IRAS 20126+4104	20 14 26.07	+41 13 32.7	 0.610	 0.030	-2.06	 0.50	 0.98	 0.50	 -4	 5	Loc	24
078.8866	 +0.7089	G078.88+00.70	AFGL 2591      	20 29 24.82	+40 11 19.6	 0.300	 0.024	-1.20	 0.72	-4.80	 0.66	 -6	 7	Loc	25
079.7357	 +0.9904	G079.73+00.99	IRAS 20290+4052	20 30 50.67	+41 02 27.5	 0.737	 0.062	-2.84	 0.50	-4.14	 0.70	 -3	 5	Loc	25
079.8768	 +1.1770	G079.87+01.17	               	20 30 29.14	+41 15 53.6	 0.620	 0.027	-3.23	 1.30	-5.19	 1.30	 -5	10	Loc	21
080.7984	 -1.9210	G080.79-01.92	NML Cyg        	20 46 25.54	+40 06 59.4	 0.620	 0.047	-1.55	 0.57	-4.59	 0.57	 -3	 3	Loc	26
080.8615	 +0.3833	G080.86+00.38	DR 20          	20 37 00.96	+41 34 55.7	 0.687	 0.038	-3.29	 0.45	-4.83	 0.50	 -3	 5	Loc	25
081.7523	 +0.5908	G081.75+00.59	DR 21          	20 39 01.99	+42 24 59.3	 0.666	 0.035	-2.84	 0.45	-3.80	 0.47	 -3	 3	Loc	25
081.8713	 +0.7806	G081.87+00.78	W 75N          	20 38 36.43	+42 37 34.8	 0.772	 0.042	-1.97	 0.50	-4.16	 0.51	  7	 3	Loc	25
090.2104	 +2.3243	G090.21+02.32	               	21 02 22.70	+50 03 08.3	 1.483	 0.038	-0.67	 1.56	-0.90	 1.67	 -3	 5	Loc	21
092.6711	 +3.0711	G092.67+03.07	               	21 09 21.73	+52 22 37.1	 0.613	 0.020	-0.69	 0.60	-2.25	 0.60	 -5	10	Loc	21
094.6025	 -1.7961	G094.60-01.79	AFGL 2789      	21 39 58.27	+50 14 21.0	 0.280	 0.030	-2.30	 0.60	-3.80	 0.60	-46	 5	Per	18,28
095.2964	 -0.9369	G095.29-00.93	               	21 39 40.51	+51 20 32.8	 0.205	 0.015	-2.75	 0.20	-2.75	 0.25	-38	 5	Per	28
097.5306	 +3.1837	G097.53+03.18	               	21 32 12.43	+55 53 49.7	 0.133	 0.017	-2.94	 0.29	-2.48	 0.29	-73	 5	Out	27
100.3780	 -3.5784	G100.37-03.57	               	22 16 10.37	+52 21 34.1	 0.291	 0.010	-3.77	 0.60	-3.12	 0.60	-37	10	Per	28
105.4153	 +9.8782	G105.41+09.87	               	21 43 06.48	+66 06 55.3	 1.129	 0.063	-0.21	 1.20	-5.49	 1.20	-10	 5	Loc	21
107.2981	 +5.6397	G107.29+05.63	IRAS 22198+6336	22 21 26.73	+63 51 37.9	 1.288	 0.107	-2.47	 1.40	 0.26	 1.40	-11	 5	Loc	29
108.1844	 +5.5187	G108.18+05.51	L 1206         	22 28 51.41	+64 13 41.3	 1.289	 0.153	 0.27	 0.50	-1.40	 1.95	-11	 3	Loc	19
108.2076	 +0.5886	G108.20+00.58	               	22 49 31.48	+59 55 42.0	 0.229	 0.028	-2.25	 0.50	-1.00	 0.50	-49	 5	Per	28
108.4714	 -2.8183	G108.47-02.81	               	23 02 32.08	+56 57 51.4	 0.309	 0.010	-2.45	 1.00	-3.00	 0.70	-54	 5	Per	28
108.5946	 +0.4918	G108.59+00.49	               	22 52 38.30	+60 00 52.0	 0.398	 0.031	-5.55	 0.40	-3.38	 0.40	-52	 5	Per	28
109.8712	 +2.1142	G109.87+02.11	Cep A          	22 56 18.10	+62 01 49.5	 1.430	 0.080	 0.50	 1.50	-3.70	 1.00	 -7	 5	Loc	30
111.2350	 -1.2382	G111.23-01.23	               	23 17 20.79	+59 28 47.0	 0.288	 0.044	-4.28	 0.60	-2.33	 0.60	-53	10	Per	28
111.2557	 -0.7698	G111.25-00.76	               	23 16 10.36	+59 55 28.5	 0.294	 0.016	-2.45	 0.60	-2.10	 0.60	-43	 5	Per	28
111.5421	 +0.7770	G111.54+00.77	NGC 7538       	23 13 45.36	+61 28 10.6	 0.378	 0.017	-2.45	 0.24	-2.44	 0.25	-57	 5	Per	30
121.2977	 +0.6587	G121.29+00.65	L 1287         	00 36 47.35	+63 29 02.2	 1.077	 0.039	-0.86	 0.76	-2.29	 0.82	-23	 5	Loc	19
122.0161	 -7.0804	G122.01-07.08	IRAS 00420+5530	00 44 58.40	+55 46 47.6	 0.460	 0.020	-3.70	 0.50	-1.25	 0.50	-50	 5	Per	31
123.0669	 -6.3075	G123.06-06.30	NGC 281        	00 52 24.70	+56 33 50.5	 0.355	 0.030	-2.79	 0.62	-2.14	 0.70	-30	 5	Per	32
123.0657	 -6.3095	G123.06-06.30	NGC 281W       	00 52 24.20	+56 33 43.2	 0.421	 0.022	-2.69	 0.31	-1.77	 0.29	-29	 3	Per	19
133.9473	 +1.0644	G133.94+01.06	W 3OH          	02 27 03.82	+61 52 25.2	 0.512	 0.010	-1.20	 0.32	-0.15	 0.32	-47	 3	Per	33,34
134.6207	 -2.1950	G134.62-02.19	S Per          	02 22 51.71	+58 35 11.4	 0.413	 0.017	-0.49	 0.35	-1.19	 0.33	-39	 5	Per	35
135.2774	 +2.7977	G135.27+02.79	WB 89-437      	02 43 28.57	+62 57 08.4	 0.167	 0.011	-1.22	 0.30	 0.46	 0.36	-72	 3	Out	36
160.1460	 +3.1566	G160.14+03.15	               	05 01 40.24	+47 07 19.0	 0.244	 0.006	 0.87	 0.35	-1.32	 0.29	-18	 5	...	1
168.0625	 +0.8218	G168.06+00.82	IRAS 05137+3919	05 17 13.74	+39 22 19.9	 0.130	 0.040	 0.50	 0.24	-0.85	 0.17	-27	 5	Out	37,38
176.5155	 +0.2008	G176.51+00.20	               	05 37 52.14	+32 00 03.9	 1.038	 0.021	 1.84	 1.00	-5.86	 1.00	-17	 5	Loc	21
182.6780	 -3.2654	G182.67-03.26	               	05 39 28.42	+24 56 32.1	 0.149	 0.011	 0.16	 0.32	-0.17	 0.32	 -7	10	Out	37
183.7200	 -3.6643	G183.72-03.66	               	05 40 24.23	+23 50 54.7	 0.570	 0.013	 0.13	 1.20	-1.40	 1.20	  3	 5	Per	28
188.7937	 +1.0306	G188.79+01.03	IRAS 06061+2151	06 09 06.97	+21 50 41.4	 0.496	 0.103	-0.10	 0.50	-3.91	 0.50	 -5	 5	Per	39
188.9462	 +0.8860	G188.94+00.88	S 252          	06 08 53.35	+21 38 28.7	 0.476	 0.006	 0.02	 0.30	-2.02	 0.30	  8	 5	Per	18,40
192.1609	 -3.8166	G192.16-03.81	               	05 58 13.53	+16 31 58.9	 0.660	 0.040	 0.70	 0.78	-1.80	 0.86	  5	 5	Per	41
192.6003	 -0.0480	G192.60-00.04	S 255          	06 12 54.02	+17 59 23.3	 0.628	 0.027	-0.14	 0.67	-0.84	 1.80	  6	 5	Per	19
196.4539	 -1.6772	G196.45-01.67	S 269          	06 14 37.08	+13 49 36.7	 0.189	 0.012	-0.42	 0.20	-0.12	 0.20	 19	 5	Out	42
209.0071	-19.3854	G209.00-19.38	Orion Nebula   	05 35 15.80	-05 23 14.1	 2.410	 0.030	 3.30	 1.50	 0.10	 1.50	  3	 5	Loc	43,44,45
211.5929	 +1.0558	G211.59+01.05	               	06 52 45.32	+01 40 23.1	 0.228	 0.007	-0.93	 0.24	 0.71	 0.26	 45	 5	...	1
229.5708	 +0.1516	G229.57+00.15	               	07 23 01.84	-14 41 32.8	 0.221	 0.014	-1.34	 0.70	 0.81	 0.70	 47	10	Per	28
232.6205	 +0.9957	G232.62+00.99	               	07 32 09.78	-16 58 12.8	 0.596	 0.035	-2.17	 0.38	 2.09	 0.60	 21	 3	Loc	40
236.8158	 +1.9835	G236.81+01.98	               	07 44 28.24	-20 08 30.2	 0.298	 0.018	-3.10	 0.63	 2.12	 0.63	 43	 7	Per	28
239.3526	 -5.0654	G239.35-05.06	VY CMa         	07 22 58.33	-25 46 03.1	 0.855	 0.057	-2.80	 0.58	 2.60	 0.58	 20	 3	Loc	46,47
240.3155	 +0.0711	G240.31+00.07	               	07 44 51.92	-24 07 41.5	 0.212	 0.021	-2.36	 0.23	 2.45	 0.30	 67	 5	Per	28

